lat,lon,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,cell
-8.07752,-34.899162,-67.3,-24.7,-73.4,-67.2,-79.2666666666667,-80.6,7703
-8.077514,-34.899326,-64.8,-52.75,-65.35,-77.55,-75.1,-84.15,2420
-8.07751,-34.89904,-67.9666666666667,-27.5,-64.7666666666667,-70.5666666666667,-74.7666666666667,-83.8333333333333,2503
-8.077504,-34.899284,-65.2333333333333,-42.1666666666667,-60.4,-72.0666666666667,-79.0666666666667,-78.7666666666667,7703
-8.077503,-34.899101,-67.4333333333333,-23.4333333333333,-62.7666666666667,-65.3666666666667,-74.0,-85.7,2503
-8.077502,-34.899303,-67.6666666666667,-35.566666666666706,-62.9,-73.6,-78.5333333333333,-80.9666666666667,7703
-8.077501,-34.899260999999996,-60.133333333333304,-31.766666666666698,-59.4,-65.8,-76.5333333333333,-77.5666666666667,7703
-8.0775,-34.899338,-71.8333333333333,-60.7666666666667,-67.0666666666667,-79.9666666666667,-78.7333333333333,-87.4666666666667,2420
-8.077494,-34.899319,-63.0,-46.75,-54.3,-76.0,-78.05,-82.0,7703
-8.077494,-34.899231,-68.7333333333333,-30.4333333333333,-64.8666666666667,-67.4666666666667,-76.7333333333333,-77.8333333333333,7703
-8.077491,-34.898972,-65.7,-26.0,-64.2,-65.4,-72.63333333333341,-77.2666666666667,2503
-8.077481,-34.899342,-68.5333333333333,-53.2,-66.8333333333333,-79.9,-78.4,-80.4,2420
-8.07748,-34.899184999999996,-72.8333333333333,-29.466666666666697,-65.8333333333333,-66.8666666666667,-71.5333333333333,-79.2333333333333,7703
-8.077478,-34.899029,-68.2333333333333,-23.7,-60.633333333333304,-66.5333333333333,-73.63333333333341,-86.5666666666667,2503
-8.077475,-34.899338,-68.2,-50.1666666666667,-72.9666666666667,-73.6,-76.1333333333333,-82.4,7703
-8.077474,-34.898914000000005,-63.125,-22.775,-67.6,-63.25,-72.625,-77.2,7785
-8.077463,-34.899136,-65.1,-28.2,-66.525,-69.3,-75.35,-82.725,7703
-8.077293,-34.898491,-58.0,-30.8333333333333,-67.7,-71.3333333333333,-74.8333333333333,-80.4,7868
-8.07729,-34.898379999999996,-62.25,-26.25,-66.1,-67.05,-75.75,-83.25,2671
-8.077288000000001,-34.899406,-69.4666666666667,-57.1,-58.5666666666667,-74.9666666666667,-74.3333333333333,-82.3333333333333,2422
-8.077271000000001,-34.898528999999996,-66.35,-24.8,-63.575,-71.675,-72.6,-81.5,7868
-8.077266,-34.899399,-70.2,-56.4666666666667,-64.8333333333333,-80.2333333333333,-77.9,-84.1,2422
-8.077255000000001,-34.898392,-62.8333333333333,-29.733333333333302,-63.6,-67.9666666666667,-74.8333333333333,-79.5333333333333,2671
-8.077242,-34.898445,-65.3,-26.4,-66.2333333333333,-70.0333333333333,-76.0,-77.0333333333333,7868
-8.077239,-34.899406,-68.0666666666667,-60.5666666666667,-66.9666666666667,-79.3333333333333,-75.5666666666667,-86.1666666666667,2422
-8.077236,-34.899421999999994,-64.6,-56.45,-71.35,-76.05,-76.35,-83.85,2422
-8.077222,-34.898284999999994,-60.6,-31.825,-68.225,-68.425,-78.275,-80.425,2671
-8.077222,-34.898185999999995,-59.975,-36.575,-75.875,-69.175,-74.475,-80.625,7950
-8.077211,-34.899421999999994,-70.4,-59.85,-72.4,-83.85,-75.95,-87.15,2422
-8.077209,-34.899433,-63.3,-60.9333333333333,-67.8,-79.7,-76.6666666666667,-83.36666666666659,2422
-8.077207000000001,-34.898354,-61.366666666666696,-28.3333333333333,-72.6,-66.9,-71.5,-78.3,2671
-8.07719,-34.898094,-70.7333333333333,-38.933333333333294,-69.4666666666667,-68.1666666666667,-71.7666666666667,-80.9,7951
-8.077186,-34.899440999999996,-65.9666666666667,-58.5333333333333,-65.6333333333333,-79.1333333333333,-75.6,-82.2666666666667,2422
-8.077181,-34.89817,-64.05,-32.1,-62.25,-68.9,-76.05,-76.1,7951
-8.077177,-34.899437,-71.7,-56.7666666666667,-71.6333333333333,-80.5333333333333,-75.0333333333333,-87.7666666666667,2422
-8.077169,-34.898254,-60.1,-31.9,-70.4666666666667,-68.1666666666667,-73.1666666666667,-79.4333333333333,2671
-8.077158,-34.898006,-60.5,-32.866666666666696,-67.2333333333333,-68.7,-73.5,-81.7,2754
-8.076789999999999,-34.896889,-63.4,-32.9,-70.4333333333333,-60.2,-68.9,-84.9333333333333,3005
-8.076777,-34.897064,-58.866666666666696,-34.2666666666667,-73.8,-65.1,-68.4333333333333,-81.6333333333333,8199
-8.076775999999999,-34.896996,-64.8,-33.5666666666667,-71.7,-64.9666666666667,-75.2666666666667,-83.6,8199
-8.076767,-34.899601000000004,-62.3333333333333,-50.1666666666667,-68.6,-76.3333333333333,-77.3333333333333,-84.7666666666667,7625
